"id","food","filename","calorie","weight"
87,"Orange","ong6.jpg","34.78","74"
88,"Orange","ong7.jpg","24.91","53"
89,"Orange","ong8.jpg","27.26","58"
90,"Orange","ong9.jpg","25.38","54"
91,"Pomegranate","pmg1.jpg","107.9","130"
92,"Pomegranate","pmg10.jpg","58.1","70"
93,"Pomegranate","pmg2.jpg","53.95","65"
94,"Pomegranate","pmg3.jpg","49.8","60"
95,"Pomegranate","pmg4.jpg","74.7","90"
96,"Pomegranate","pmg5.jpg","99.6","120"
97,"Pomegranate","pmg6.jpg","33.2","40"
98,"Pomegranate","pmg7.jpg","48.14","58"
99,"Pomegranate","pmg8.jpg","59.76","72"
100,"Pomegranate","pmg9.jpg","79.68","96"
101,"Potato","pto1.jpg","65.45","85"
102,"Potato","pto2.jpg","118.58","154"
103,"Potato","pto3.jpg","53.13","69"
104,"Potato","pto4.jpg","43.89","57"
105,"Potato","pto5.jpg","120.12","156"
106,"Potato","pto6.jpg","68.53","89"
107,"Potato","pto7.jpg","56.98","74"
108,"Potato","pto8.jpg","38.5","50"
109,"Tomato","tm1.jpg","13.5","75"
110,"Tomato","tm10.jpg","21.6","120"
111,"Tomato","tm11.jpg","6.48","36"
112,"Tomato","tm12.jpg","17.1","95"
113,"Tomato","tm2.jpg","18.0","100"
114,"Tomato","tm3.jpg","13.32","74"
115,"Tomato","tm4.jpg","26.64","148"
116,"Tomato","tm5.jpg","35.28","196"
117,"Tomato","tm6.jpg","25.2","140"
118,"Tomato","tm7.jpg","5.4","30"
119,"Tomato","tm8.jpg","4.5","25"
120,"Tomato","tm9.jpg","8.46","47"
121,"Rice","f1210.jpg","130.0","100"
122,"Rice","f1221.jpg","195.0","150"
123,"Rice","f1232.jpg","260.0","200"
124,"Rice","f1243.jpg","136.5","105"
125,"Rice","f12510.jpg","260.0","200"
126,"Rice","f12611_1.jpg","195.0","150"
127,"Rice","f12711.jpg","260.0","200"
128,"Fish","f12860973839.jpg","309.0","150"
129,"Fish","f1291664308524_new-project-57.jpg","251.32","122"
130,"Fish","f130bcgh6jg.jpg","144.2","70"
131,"Fish","f131Chettinad-fish-fry-1B.jpg","164.8","80"
132,"Fish","f132fdfd56hg.jpg","329.6","160"
133,"Fish","f133fish-fry-masala.jpg","257.5","125"
134,"Fish","f134fish-lead-story-.jpg","103.0","50"
135,"Fish","f135ftytu657uy.jpg","61.8","30"
136,"Fish","f136vanjaram-fish-fry.jpg","72.1","35"
137,"Chicken","f137960xfd.jpg","1434.0","600"
138,"Chicken","f138df43.jpg","262.9","110"
139,"Chicken","f139dsds4re43.jpg","310.7","130"
140,"Chicken","f140nrty54fg.jpg","107.55","45"
141,"Chicken","f141vm56yu.jpg","478.0","200"
142,"Ghee","f14245thhjf.jpg","1620.0","180"
143,"Ghee","f143720_404_1-1.jpg","900.0","100"
144,"Ghee","f1442000x600.jpg","270.0","30"
145,"Ghee","f145a2-organic-ghee.jpg","405.0","45"
146,"Ghee","f146dairy-farm-ghee-500x500.jpg","720.0","80"
147,"Ghee","f147Fresh-Desi-Ghee.jpg","225.0","25"
148,"Milk","f148hfdr5gf.jpg","66.0","150"
149,"Milk","f149kefjhvsfd934.jpg","88.0","200"
150,"Milk","f150fggf78hy.jpg","96.8","220"
151,"Milk","f151Milk-Benefits.jpg","39.6","90"
152,"Milk","f152milk.jpg","46.2","105"
153,"Noodles","f15310.jpg","207.0","150"
154,"Noodles","f154102_1.jpg","248.4","180"
155,"Noodles","f1550.jpg","96.6","70"
156,"Noodles","f156104.jpg","124.2","90"
157,"Noodles","f157113.jpg","110.4","80"
158,"Parota","f158376298-malabar-parotta_1.jpg","1005.0","300"
159,"Parota","f159382419-parota.jpg","837.5","250"
160,"Parota","f160xxcfdw.jpg","536.0","160"
161,"Parota","f161gngyh4.jpg","603.0","180"
162,"Parota","f162fdtre56ed.jpg","871.0","260"
163,"Pizza","f163001.jpg","478.8","180"
164,"Pizza","f164005.jpg","558.6","210"
165,"Pizza","f165007.jpg","611.8","230"
166,"Pizza","f166013.jpg","452.2","170"
167,"Pizza","f167020.jpg","505.4","190"
